,M_V,L_V,D,rhalf_arcmin,rhalf_sph_physical,M_dynamical_wolf,sigma_vrad,sigma_vrad_err,frac_M_err,M_err,n_stars
Antlia II,-9.73,666806.7692136233,124.17,104.6,2379.32,79432823.47242822,5.98,0.1537354648748607,0.05141654343640826,4084161.218346655,1362.0
Aquarius II,-4.36,4742.419852602453,107.65,5.1,123.69,2454708.915685029,4.7,1.6474099734961676,0.701025520636667,1720813.5956295657,12.0
Aquarius III,-2.5,855.0667128846841,85.51,2.1,36.28,,,,,,5.0
Bootes I,-6.02,21877.616239495517,66.37,9.97,160.86,2398832.91901949,4.0,0.34037023867691274,0.17018511933845637,408245.66659634956,164.0
Bootes II,-2.94,1282.3305826560218,41.69,3.17,33.0,251188.6431509582,2.9,1.0661959934298746,0.7353075816757756,184700.91373975045,21.0
Bootes III,-5.74,16904.409316432666,46.56,40.6,447.9,46773514.128719814,10.7,0.5775239900902243,0.10794840936265875,5049126.4504971495,257.0
Canes Venatici I,-8.73,265460.55619755416,210.86,7.12,326.44,17378008.28749376,7.6,0.3640965078871629,0.09581487049662182,1665071.6135554356,392.0
Canes Venatici II,-5.17,10000.0,159.96,1.52,54.04,1047128.5480508985,4.6,0.9907321102472285,0.43075309141183854,451053.85917851445,28.0
Carina,-9.43,505824.66200311476,105.58,10.1,248.12,10000000.0,6.6,0.1273868155962004,0.038602065332181947,386020.65332181944,2160.0
Carina II,-4.57,5754.399373371572,37.39,8.69,76.52,812830.5161640996,3.4,0.43209185697654595,0.2541716805744388,206598.4983156177,147.0
Carina III,-2.4,779.8301105232593,27.8,3.75,19.51,524807.4602497723,5.6,1.0871616028962152,0.3882720010343626,203768.0427489408,34.0
Centaurus I,-5.35,11803.206356517298,117.71,2.6,70.97,1148153.6214968818,4.2,0.7940667830361648,0.3781270395410309,434147.92983492924,32.0
Columba I,-4.2,4092.6065973001137,182.81,2.2,97.34,,,,,,6.0
Coma Berenices,-4.29,4446.312674691093,42.27,5.64,54.94,1071519.305237607,4.6,0.6360804862746914,0.2765567331629093,296335.87857750285,86.0
Crater II,-8.18,159955.80286146712,116.57,31.2,1054.21,5370317.963702532,2.34,0.13891368096004383,0.11872964184619132,637615.9284305691,650.0
Draco,-8.87,301995.1720402019,81.55,9.67,193.22,14791083.881682072,9.1,0.1789226857456109,0.03932366719683756,581639.660043774,1737.0
Eridanus II,-7.12,60255.95860743581,369.83,2.31,178.95,7943282.347242822,6.9,1.1834652287014005,0.3430333996235943,2724811.1477447893,32.0
Eridanus IV,-3.55,2249.0546058357804,69.82,3.24,56.18,1905460.7179632483,6.1,1.307196115652007,0.42858889037770725,816659.2947701779,20.0
Fornax,-13.39,19408858.775927793,142.56,19.9,695.33,95499258.60214369,12.1,0.28393127660456463,0.04693078952141564,4481855.604908448,913.0
Grus I,-4.13,3837.072454922792,126.47,4.16,113.42,645654.2290346549,2.5,1.4146610232758894,1.1317288186207115,730705.4978628563,10.0
Grus II,-3.5,2147.8304741305355,55.21,5.9,94.36,,,,,,20.0
Hercules,-5.81,18030.1774085957,130.62,5.63,118.55,2884031.503126606,5.1,0.7320771401726803,0.2870890745775217,827973.9352850361,48.0
Horologium I,-3.38,1923.0917289101615,79.43,1.61,31.67,707945.7843841374,4.9,1.611644793607464,0.6578142014724343,465696.79084042745,8.0
Hydra II,-5.1,9375.620069258803,151.36,1.52,56.73,,,,,,29.0
Hydrus I,-4.71,6546.361740672747,27.54,7.42,52.42,354813.3892335753,2.7,0.24997459186885598,0.18516636434730072,65699.50530612483,369.0
Leo I,-11.82,4570881.8961487515,258.23,3.65,229.1,17782794.100389227,9.2,0.11977585901592638,0.026038230220853564,463032.4867559712,4326.0
Leo II,-9.48,529663.4438916581,208.93,2.52,147.66,7585775.7502918355,7.4,0.24429814538012626,0.0660265257784125,500862.4181259003,827.0
Leo IV,-4.95,8165.823713585939,151.36,2.54,101.11,1071519.305237607,3.4,1.0592052328755177,0.623061901691481,667622.856020478,21.0
Leo V,-4.4,4920.395356814511,169.04,1.0,35.23,,,,,,9.0
Leo VI,-3.56,2269.8648518838236,111.17,4.17,86.86,575439.9373371566,2.85,1.339806951542247,0.9402154045910506,541037.4935013035,8.0
Pegasus III,-4.17,3981.0717055349733,214.78,1.67,82.12,2187761.623949552,5.4,2.0685709225359554,0.7661373787170205,1676125.9558304017,6.0
Pegasus IV,-4.25,4285.485203974396,89.95,1.6,41.63,416869.3834703355,3.3,0.7678400732539538,0.4653576201539114,193993.34420678363,18.0
Phoenix II,-2.6,937.5620069258802,83.18,1.5,26.87,,,,,,1.0
Pictor II,-2.65,981.7479430199854,44.87,2.8,31.86,354813.3892335753,3.5,1.0680601460234094,0.6103200834419482,216549.73732335615,17.0
Pisces II,-4.28,4405.548635065535,182.81,1.34,56.31,1513561.2484362072,5.4,1.9524668200746647,0.7231358592869128,1094510.4139712893,9.0
Reticulum II,-3.1,1485.9356422870076,31.62,6.3,36.46,426579.5188015926,3.6,0.7934148390663671,0.44078602170353726,188030.28903276328,45.0
Reticulum III,-3.3,1786.4875748520499,91.62,2.4,62.18,,,,,,6.0
Sagittarius,-13.5,21478304.741305333,26.3,342.0,1565.8,190546071.79632443,11.4,0.08083634584191378,0.014181815059984873,2702289.1506220726,10199.0
Sculptor,-10.77,1737800.8287493763,83.95,11.17,223.23,17378008.28749376,9.2,0.3857926243962542,0.08386796182527266,1457458.1356547987,287.0
Segue 1,-1.3,283.1391995799379,22.91,3.62,19.52,245470.89156850285,3.7,1.2411957416792163,0.6709166171239007,164690.50017352778,18.0
Segue 2,-1.95,515.2286445817567,36.48,3.76,35.02,,,,,,7.0
Sextans,-8.72,263026.7991895387,85.9,22.8,485.89,28183829.31264455,7.9,0.1812828925772481,0.04589440318411345,1293480.025746744,1364.0
Triangulum II,-1.3,283.1391995799379,28.44,2.5,17.17,,,,,,15.0
Tucana II,-3.75,2703.958364108846,56.23,12.89,161.67,2089296.1308540408,3.8,0.856585500838727,0.4508344741256458,941926.722446328,28.0
Tucana IV,-3.0,1355.1894123510365,46.99,9.3,98.11,1659586.9074375597,4.3,1.0688182423968715,0.4971247639055216,825021.7495405916,25.0
Tucana V,-1.1,235.5049283896009,54.95,2.1,22.8,28840.31503126606,1.2,inf,inf,inf,0.0
Ursa Major I,-5.14,9727.472237769642,97.27,8.31,150.14,6760829.753919818,7.0,0.9706350297080591,0.2773242942023026,1874942.3397277407,41.0
Ursa Major II,-4.42,5011.872336272725,34.67,13.8,92.06,3801893.9632056127,6.7,0.5822121738059856,0.17379467874805538,660748.9399694905,151.0
Ursa Minor,-8.86,299226.4636608189,70.15,18.3,250.41,17378008.28749376,8.6,0.156255433744779,0.036338472963902094,631490.2843215585,2112.0
Willman 1,-2.53,879.0225168308842,38.02,2.51,19.98,288403.15031266055,4.0,1.1177706155678868,0.5588853077839434,161184.2834283502,15.0
Andromeda I,-11.35,2964831.3895243453,776.25,3.9,746.65,72443596.00749905,10.2,0.5455590659898806,0.10697236588036875,7749462.857803809,302.0
Andromeda II,-11.72,4168693.8347033635,666.81,5.3,941.57,53703179.63702533,7.8,0.3128996553283065,0.08023068085341192,4308642.666271629,668.0
Andromeda III,-9.49,534564.3593969725,721.11,2.0,267.68,21379620.895022325,9.3,1.0633429160633117,0.22867589592759388,4889003.962761537,71.0
Andromeda V,-9.3,448745.3899331332,758.58,1.6,302.5,30902954.32513592,10.5,1.3484651043929454,0.2568504960748467,7937439.148589491,49.0
Andromeda IX,-8.63,242102.904673618,701.46,2.0,393.4,43651583.22401656,10.9,1.677840443971971,0.30786063192146257,13438603.995718053,35.0
Andromeda X,-7.3,71121.35136533296,630.96,1.1,175.37,6456542.290346549,6.4,1.9040531455321514,0.5950166079787973,3841749.8928736583,14.0
Andromeda XI,-6.38,30478.949896279893,751.62,0.6,108.85,5248074.602497723,7.6,6.392494450422589,1.6822353816901552,8828496.782071166,2.0
Andromeda XII,-6.58,36643.75746478333,717.79,1.8,223.49,,,,,,6.0
Andromeda XIV,-8.64,244343.05526939762,772.68,1.5,296.31,7585775.7502918355,5.3,1.4055276942920345,0.5303878091668055,4023402.981027967,30.0
Andromeda XV,-8.37,190546.07179632483,748.17,1.3,245.39,3630780.54770101,4.0,1.5806432613581465,0.7903216306790732,2869484.403096921,21.0
Andromeda XVI,-7.47,83176.37711026726,517.61,1.0,126.3,1698243.652461746,3.8,1.1044242985859989,0.58127594662421,987148.1866832573,25.0
Andromeda XVII,-7.8,112719.74561755093,758.58,1.4,215.41,1621810.09735893,2.9,2.810298526807818,1.9381369150398746,3143290.0188757554,11.0
Andromeda XX,-6.35,29648.313895243453,741.31,0.4,72.48,3090295.432513592,7.1,5.199492460687004,1.4646457635738042,4526188.113422509,2.0
Andromeda XXI,-8.94,322106.8791283435,772.68,4.1,730.2,24547089.156850286,6.1,1.4177891208918814,0.46484889209569885,11410687.198736198,29.0
Andromeda XXII,-6.39,30760.96814740705,755.09,0.9,119.68,812830.5161640996,2.8,12.133363631705514,8.666688308361081,7044548.731118505,2.0
Andromeda XXIII,-9.76,685488.226452662,744.73,5.4,895.73,38018939.632056125,6.8,0.8951099311857198,0.26326762681932936,10009156.011118762,69.0
Andromeda XXIV,-7.62,95499.25860214369,608.14,2.6,402.8,,,,,,21.0
Andromeda XXV,-9.08,366437.5746478333,751.62,2.7,561.55,7079457.843841373,3.7,1.2828271821636836,0.693420098466856,4909038.355168441,37.0
Andromeda XXVI,-5.98,21086.28149933293,787.05,1.0,164.68,10232929.922807537,8.6,inf,inf,inf,0.0
Andromeda XXVIII,-8.51,216770.41048196962,744.73,1.38,227.23,5011872.336272725,4.9,1.348080801361177,0.5502370617800721,2757717.9083275297,25.0
Andromeda XXIX,-8.17,158489.3192461114,711.21,1.39,241.87,7244359.600749906,5.7,1.670992648335988,0.586313209942452,4247463.731493097,19.0
Cassiopeia II,-7.74,106659.6121230259,559.76,1.5,182.4,22908676.52767775,11.8,2.1250614696468544,0.3601799101096363,8251245.052469706,23.0
IC 10,-14.93,80167806.3387679,769.13,2.65,533.6,,,,,,18.0
Lacerta I,-11.21,2606153.5499988976,744.73,3.13,520.47,51286138.39913648,10.3,0.5335688298347624,0.10360559802616745,5313531.039295326,310.0
LGS 3,-9.61,597035.2865838367,605.34,2.1,329.55,19054607.17963248,7.9,0.7730525197477773,0.19570949867032336,3729167.618485817,110.0
NGC 147,-14.83,73113908.34834187,734.51,3.17,520.25,123026877.0812381,16.0,2.2400647127229734,0.28000808909037167,34448520.75827353,27.0
NGC 185,-14.86,75162289.40182045,648.63,2.55,443.58,234422881.53199178,24.0,4.277113973031087,0.35642616441925723,83554448.51655777,16.0
