# mass enclosed, CDF
3162.27766,347.00000
4248.20170,347.00000
5707.03133,347.00000
7666.82207,347.00000
10299.60366,347.00000
13836.48068,347.00000
18587.91891,347.00000
24970.99786,347.00000
33546.02186,347.00000
45065.70338,347.00000
60541.23584,347.00000
81331.05582,347.00000
109260.08611,347.00000
146779.92676,346.00000
197184.05565,344.00000
264896.92876,342.00000
355862.35731,338.00000
478065.25330,329.00000
642232.54222,317.00000
862774.76860,300.00000
1159051.04831,282.00000
1557068.40475,246.00000
2091764.65576,201.00000
2810075.24250,153.00000
3775053.20532,111.00000
5071403.95656,77.00000
6812920.69058,42.00000
9152473.10877,24.00000
12295426.26596,10.00000
16517667.43970,6.00000
22189823.41459,2.00000
29809793.96565,2.00000
40046457.31836,2.00000
53798384.03444,1.00000
72272713.20676,1.00000
97091114.68708,1.00000
130432138.67190,0.00000
175222448.04128,0.00000
235393719.75500,0.00000
