,M_V,L_V,D,rhalf_arcmin,rhalf_sph_physical,M_dynamical_wolf,sigma_vrad,sigma_vrad_err,frac_M_err,M_err,n_stars
Antlia II,-9.73,666806.7692136233,124.17,104.6,2379.32,79432823.47242822,5.98,0.12939028717651663,0.04327434353729653,3437403.29108329,1937.0
Aquarius II,-4.36,4742.419852602453,107.65,5.1,123.69,2454708.915685029,4.7,0.9975248632429753,0.42447866520977673,1041971.5640085194,24.0
Aquarius III,-2.5,855.0667128846841,85.51,2.1,36.28,,,,,,4.0
Bootes I,-6.02,21877.616239495517,66.37,9.97,160.86,2398832.91901949,4.0,0.3140483901760021,0.15702419508800106,376674.80825963547,188.0
Bootes II,-2.94,1282.3305826560218,41.69,3.17,33.0,251188.6431509582,2.9,0.7861300222915311,0.5421586360631249,136184.0921652705,31.0
Bootes III,-5.74,16904.409316432666,46.56,40.6,447.9,46773514.128719814,10.7,0.49361418661086726,0.0922643339459565,4315527.127398119,346.0
Canes Venatici I,-8.73,265460.55619755416,210.86,7.12,326.44,17378008.28749376,7.6,0.32932409878697916,0.08666423652288925,1506051.820524089,476.0
Canes Venatici II,-5.17,10000.0,159.96,1.52,54.04,1047128.5480508985,4.6,0.919952139199194,0.39997919095617135,418829.62947650877,33.0
Carina,-9.43,505824.66200311476,105.58,10.1,248.12,10000000.0,6.6,0.11268935635181253,0.034148289803579555,341482.89803579554,2713.0
Carina II,-4.57,5754.399373371572,37.39,8.69,76.52,812830.5161640996,3.4,0.3533469914497216,0.2078511714410127,168947.7749677111,203.0
Carina III,-2.4,779.8301105232593,27.8,3.75,19.51,524807.4602497723,5.6,0.9296657055258576,0.3320234662592349,174248.39207083502,48.0
Centaurus I,-5.35,11803.206356517298,117.71,2.6,70.97,1148153.6214968818,4.2,0.6168223051738516,0.2937249072256436,337241.3159549583,49.0
Columba I,-4.2,4092.6065973001137,182.81,2.2,97.34,,,,,,14.0
Coma Berenices,-4.29,4446.312674691093,42.27,5.64,54.94,1071519.305237607,4.6,0.5818026060335459,0.2529576547971939,271049.01052282366,98.0
Crater II,-8.18,159955.80286146712,116.57,31.2,1054.21,5370317.963702532,2.34,0.12582004718619721,0.10753850186854463,577515.9483743036,753.0
Draco,-8.87,301995.1720402019,81.55,9.67,193.22,14791083.881682072,9.1,0.15855914656873235,0.03484816408104008,515442.118045284,2193.0
Eridanus II,-7.12,60255.95860743581,369.83,2.31,178.95,7943282.347242822,6.9,1.0696512617910157,0.3100438439973958,2462765.7928958214,37.0
