,M_V,L_V,D,rhalf_arcmin,rhalf_sph_physical,M_dynamical_wolf,sigma_vrad,sigma_vrad_err,frac_M_err,M_err
Antlia II,-9.73,666806.7692136233,124.17,104.6,2379.32,79432823.47242822,5.98,0.365,0.16187975836857724,12858566.270250529
Aquarius II,-4.36,4742.419852602453,107.65,5.1,123.69,2454708.915685029,4.7,1.5,0.6813063344975536,1672408.7336038314
Aquarius III,-2.5,855.0667128846841,85.51,2.1,36.28,,,,,
Bootes I,-6.02,21877.616239495517,66.37,9.97,160.86,2398832.91901949,4.0,0.35,0.18525033175737113,444384.5940788635
Bootes II,-2.94,1282.3305826560218,41.69,3.17,33.0,251188.6431509582,2.9,1.4,0.9847838290878234,247366.51382557547
Bootes III,-5.74,16904.409316432666,46.56,40.6,447.9,46773514.128719814,10.7,3.5,0.6813063344975536,31867091.462607633
Canes Venatici I,-8.73,265460.55619755416,210.86,7.12,326.44,17378008.28749376,7.6,0.4,0.1153837580841085,2005139.9042278128
Canes Venatici II,-5.17,10000.0,159.96,1.52,54.04,1047128.5480508985,4.6,0.8,0.4092074700803054,428492.82399677165
Carina,-9.43,505824.66200311476,105.58,10.1,248.12,10000000.0,6.6,1.2,0.37592204830757947,3759220.4830757948
Carina II,-4.57,5754.399373371572,37.39,8.69,76.52,812830.5161640996,3.4,1.0,0.5985282094172368,486501.9933993869
Carina III,-2.4,779.8301105232593,27.8,3.75,19.51,524807.4602497723,5.6,3.2,1.281841315770922,672719.885372964
Centaurus I,-5.35,11803.206356517298,117.71,2.6,70.97,1148153.6214968818,4.2,0.55,0.28847324862774487,331211.60511691566
Columba I,-4.2,4092.6065973001137,182.81,2.2,97.34,,,,,
Coma Berenices,-4.29,4446.312674691093,42.27,5.64,54.94,1071519.305237607,4.6,0.8,0.3521506446054509,377336.21404660825
Crater II,-8.18,159955.80286146712,116.57,31.2,1054.21,5370317.963702532,2.34,0.36,0.320508549103758,1721232.8187721467
Draco,-8.87,301995.1720402019,81.55,9.67,193.22,14791083.881682072,9.1,1.2,0.2648359883319756,3917211.3183064256
Eridanus II,-7.12,60255.95860743581,369.83,2.31,178.95,7943282.347242822,6.9,1.05,0.320508549103758,2545889.90023629
