# r_half [kpc], M_enc(r_half) [M_sun], M_200 [M_sun], concentration
0.03728,1983092.34557,131780778.51811,125.27559
0.03630,4494948.80564,257609648.45677,188.57091
0.08055,5073889.64505,120471084.00151,110.75270
0.04227,2892084.46883,147395210.48849,138.24446
0.06093,3867942.09831,105036176.90634,130.84013
0.05112,2576930.99276,125222706.44943,106.94437
0.07297,4538298.87818,118820541.31447,113.90187
0.03096,1283124.32834,120571948.79119,116.92120
0.12066,27122414.54050,568095728.32309,143.19609
0.08668,16102079.94077,477389454.45851,145.82578
0.06458,7036178.49790,204559399.60144,150.49849
0.06072,2685028.99952,110431267.74443,94.25586
0.04051,3177960.33733,171851407.56031,147.59950
0.04696,4835598.49405,170716881.65860,174.02925
0.11027,11816503.35103,156907321.63031,149.19720
0.04137,3176509.68081,148900964.58132,152.13707
0.13145,20704509.92444,236360507.68497,168.54790
0.03447,3341438.96257,188092906.42084,179.63163
0.04436,2744651.85544,124678499.81751,133.66200
0.02281,1394601.64488,252590753.62846,141.84776
0.02133,1825094.24752,246472547.85951,185.52723
0.13814,6183744.42463,7006432362.02960,18.12087
0.03533,1922153.07635,127893001.10776,131.88530
0.37764,33542134.21581,4502812251.59745,17.94638
0.03318,3328614.45237,255542369.12284,167.79039
0.02071,649549.62984,127893375.01277,115.14256
0.03405,2357956.31320,147459880.71141,152.75098
0.09476,14714785.29022,191823615.65460,200.73837
0.14411,15323493.80751,910932761.68625,57.71061
0.03556,2467528.39360,135606646.58956,154.95471
0.03511,1533616.50695,125118866.52489,113.21728
0.03336,4511438.72818,426747593.99783,175.03408
0.02604,1018196.23520,130105202.33893,118.93310
0.09319,15802191.71972,234743394.00807,193.34703
0.05174,2433154.63837,116236581.67758,103.66477
0.09493,15275963.94294,298240223.09997,158.02489
0.17309,24466938.53413,268884089.14309,130.65040
0.04085,4240466.31010,285431860.12706,151.15621
0.29827,65400962.30833,503978868.68365,132.09093
0.10124,10025076.87900,140283416.19888,149.77120
0.01503,306802.67978,103789260.28562,108.22528
0.01561,555640.66359,135599806.44361,142.23192
0.05651,6978716.61792,177031324.61308,188.45130
0.04047,3401495.46805,141800714.11636,168.29679
0.07201,7137475.58134,168946001.16243,146.59569
0.15986,31053289.05789,773629526.34179,97.70527
0.08640,1770837.21698,3889664127.41071,16.55414
0.13730,15099321.22391,762567464.40434,64.68400
0.04929,3609013.56131,687046935.21565,81.93519
0.10019,4913966.11010,1052208497.64470,37.91266
0.24263,47779395.56125,766624774.45428,87.60449
0.02684,1141540.04398,105672608.36010,132.88053
0.13024,27383643.92449,605600360.53964,127.07040
0.08163,5635215.56501,111735139.60914,125.08642
0.05211,7449754.49314,216461132.95332,199.59356
0.01684,626631.89396,111236015.88306,148.90218
0.04784,3113617.42137,150985564.83364,125.12352
0.05743,4564260.99156,143816226.95527,140.32566
0.09279,11145993.99495,796808656.95917,81.48783
0.18142,30496418.19868,276216116.34717,157.89437
0.13843,27770373.41321,552776126.62232,125.36029
0.06920,5672003.84867,136572818.34583,138.89008
0.03221,2796374.19619,173585787.11410,174.91232
0.06815,740527.76729,2499358226.73755,13.93064
0.03329,1296889.05580,115833408.40121,109.51271
0.03453,1885865.23791,143018520.49162,128.48782
0.04619,2741589.22086,155685088.05055,116.81609
0.07707,5265701.35259,126019191.05658,118.32429
0.34709,48998566.69355,957116644.05914,49.84920
0.09386,10677930.67065,195608606.52999,143.29447
0.03750,3602121.61930,240092258.03126,157.39002
0.22982,42100490.57702,305057064.39258,163.55975
0.06287,3712991.70569,100345156.97494,124.11356
0.07850,7739889.85692,118380123.15881,174.65687
0.06156,7771940.12262,214798813.58015,170.09918
0.04079,4969420.26910,231050580.57221,185.36730
0.04903,5742629.93723,230527038.57446,167.50252
0.04774,3201371.98769,116306791.03508,142.80151
0.18807,42715951.42917,500019236.89304,142.43260
0.04021,3386833.66318,229955161.84287,140.51051
0.01021,389045.69865,177902415.79973,172.24656
0.04732,2259013.58544,103513952.96974,113.94409
0.04373,7898868.24043,412903575.40455,195.72770
0.08300,10964757.18866,285279223.19359,139.98580
0.07646,4561823.05599,122497284.28787,106.44955
0.03403,1437607.13647,109653671.78830,117.14891
0.05388,5002556.00569,178610191.84870,148.79534
0.01832,1176446.77068,299718242.45325,156.02109
0.03018,1065520.66437,131010449.63950,102.86596
0.07280,5606616.49635,137811374.67277,128.52637
0.32414,35865190.26464,1075036539.03731,38.73684
0.02757,974229.63252,144395540.04182,104.51188
0.04011,3608940.13715,134218664.54511,182.81226
0.05429,2567435.50864,111457284.28621,103.79218
0.02365,2217352.95764,233390556.36552,191.64484
0.03754,2473014.55248,140921845.33747,143.45086
0.06190,6797586.47112,152798698.79872,177.65037
0.08103,5552056.91649,143643380.18450,109.36318
0.04234,4180083.44626,180647140.23660,170.56129
0.18705,28833963.08021,711951492.92366,78.13213
0.04747,2772258.88518,153762116.71481,114.52658
0.01480,313432.86486,108660598.29284,110.43641
0.45632,59364634.93223,1419709968.27500,34.13160
0.04421,5653668.23406,193721282.28559,201.74225
0.08484,16383989.83566,393479993.38894,167.06924
0.11427,6051778.07891,1211746292.11041,35.74856
0.08687,9659052.87576,171024580.99563,154.36074
0.01354,361591.58313,125582380.68028,129.48484
0.06058,6553078.38953,226486974.53200,146.03201
0.01385,377280.59060,126997001.07433,129.26964
0.03119,961519.87370,130347845.53453,92.20390
0.04765,3528288.14311,154314142.56064,137.73011
0.11306,11788260.02924,171536265.60616,135.93618
0.08924,17103718.57867,546571476.17071,139.35932
0.06228,3180798.68123,132364811.69466,97.44210
0.05170,2237763.31004,116267928.88834,97.14149
0.13726,29976884.62299,413866290.50894,163.16028
0.06012,7465149.36327,205189375.52797,172.65325
0.08689,7974225.55037,142272949.24105,141.88143
0.06695,6862867.84167,144659772.86596,167.67102
0.06743,10699079.46516,347638289.06310,160.66573
0.09009,18075299.95981,234829865.70218,233.60959
0.15493,12221124.41439,123812997.03213,118.75171
0.04389,3648480.10032,230900069.67849,133.74036
0.03230,3026155.43327,212073773.68853,172.21264
0.22158,12389758.63595,1854451005.27391,22.65253
0.05857,6224484.52764,700560972.30409,96.72722
0.03486,967838.66894,104786704.70664,86.69150
0.07981,6966259.84544,734601123.08514,71.18429
0.02344,1071509.84365,120746876.39468,142.74037
0.06903,11071195.95689,314326676.08488,168.59060
0.04315,1752016.81755,116719230.42702,99.98055
0.06721,9657903.74857,218521945.77926,184.69471
0.05233,7509571.96080,559617455.32983,136.31768
0.02722,1058901.97510,104132715.51008,124.37263
0.02214,2359432.69198,237012125.43703,215.23710
0.02335,681919.13688,120967733.65900,104.94501
0.03009,2440490.68609,253080775.02853,150.86800
0.14804,4508920.20365,1935974906.89705,18.42800
0.04845,2280347.27259,129580813.42924,102.38300
0.01725,570941.39555,118772197.19411,133.61935
0.09724,8577535.06352,177284615.26315,117.08465
0.02451,884977.75120,134659988.47019,114.78243
0.03531,1215190.98415,953913182.59049,55.09162
0.08027,14012517.20193,362196110.44851,161.64479
0.04283,4949406.62249,224861250.46237,176.29315
0.02791,824347.95399,118516858.75668,97.31251
0.46191,94326848.97099,557042390.24136,112.30518
0.04369,3189682.01274,151669549.65517,141.95718
0.01304,357960.52285,133051506.10576,132.38857
0.01453,424654.10657,130790823.86024,130.91551
0.19755,43535554.46401,574457327.07635,123.99147
0.04541,4487962.62380,228711954.42657,151.15375
0.05716,3973830.54833,142882749.35717,125.85779
0.06910,1067382.73476,3214123965.46205,16.50866
0.05604,7433672.85660,243313176.81276,172.89438
0.04704,3841720.25039,240694683.81930,126.13500
0.05215,6486813.64093,361405292.67445,143.43629
0.09106,11245251.08021,799953592.35563,83.81822
0.08875,6363710.37340,108725904.29747,128.98227
0.03103,1342761.44504,112044817.41733,123.44655
0.12411,26870998.50648,395303608.87117,169.65222
0.03894,4076139.20321,196616328.29746,178.48624
0.17447,22403120.89268,196599521.24397,149.18146
0.05353,6549889.52923,230874792.96270,168.00923
0.02454,1101813.86704,116495950.51868,139.50537
0.05558,3122971.54353,869323939.62261,60.37064
0.10490,8882045.69673,129659297.27439,132.35883
0.03113,1065044.39290,108429710.86825,105.13625
0.04040,2899247.24885,160280076.53060,141.58252
0.02002,1520398.96403,250265696.30052,175.48030
0.13380,21020756.74189,259573825.56339,156.63329
0.09190,14379901.37189,668012401.86947,107.10117
0.03903,4453591.87520,220839731.69586,182.35420
0.11828,15241488.84787,170570357.11089,171.84475
0.20492,7428738.80883,4010464532.10556,14.04995
0.03863,3956091.72939,220997607.41805,168.27095
0.06880,3929085.13707,101263234.20160,116.31184
0.02241,921852.38107,105591776.98902,141.14363
0.01899,1179704.46835,375121095.70329,141.29145
0.06661,7122418.25391,198955027.13623,148.43963
0.04404,4096141.86773,329151968.39347,128.27004
0.01637,800058.90697,166889646.12371,161.68463
0.20136,34440877.25720,323824921.34972,140.69661
0.09104,6445852.83834,116289961.04093,121.68440
0.06006,5875858.29745,207740212.73071,139.83393
0.07474,13837753.79212,323835173.45608,184.48898
0.10101,24290757.90810,421680870.32718,189.62557
0.02023,616884.85093,119630920.60681,116.51158
0.02107,821572.30677,118163553.66467,135.42822
0.04470,2285551.92963,145332569.11713,108.40513
0.03360,1440884.51567,119925145.07433,115.59740
0.04857,6241243.76944,210616570.18710,188.82278
0.07914,12954148.95509,283071551.23565,173.68745
0.03059,2451657.18434,196659000.38677,161.31769
0.01156,299048.08291,125790053.74216,137.78497
0.02505,2357086.84795,218345167.04227,191.30723
0.02628,4448144.08811,336599944.14255,247.90372
0.01603,353266.68045,104532505.65643,109.76686
0.04511,2894905.81547,149318648.84534,127.35565
0.10733,8150774.79696,113294341.16335,127.95412
0.02413,714912.55092,111803944.09968,106.65123
0.04042,2722563.54616,129222746.54526,146.38070
0.17779,32876092.37275,267038227.91578,184.77683
0.07815,12293750.42068,307161348.07655,161.05269
0.01400,291475.68095,133112751.39709,106.93082
0.12337,5219260.20483,2076249859.43622,25.34177
0.06397,8631099.71773,266560200.85308,160.72594
0.19471,47860628.57136,697225854.52773,123.25715
0.07355,9161548.43451,665587246.53555,99.15580
0.01482,294474.26109,118139618.34872,103.69772
0.06929,14638789.10573,323693663.89063,213.24138
0.03783,3043299.11659,152190684.71589,162.22348
0.11102,16477569.02642,228859513.17284,165.13619
0.05843,3054482.24535,109038863.29186,110.46562
0.13869,21491930.91083,220728164.61523,173.44769
0.10789,7102718.72685,115475814.03547,108.71183
0.04267,4503254.54521,263537461.26603,154.68746
0.24882,14569280.86087,3311255597.48137,18.50449
0.06171,7690301.99766,667769196.15015,107.41687
0.13141,10489193.59383,887099128.69106,48.99404
0.03724,3693392.82664,205032402.01378,171.41024
0.05709,4305867.05705,196177373.51338,118.03757
0.08512,9901816.90622,277864787.39196,125.53051
0.04440,4103576.48741,229561343.78908,144.60838
0.06376,5405087.20973,151207654.46326,139.84758
0.04057,1790437.49786,130978397.17987,105.11356
0.02165,1443088.58997,469208264.10446,130.45461
0.02119,1164185.82760,150922239.95364,159.00287
0.01425,767415.59163,207266211.59006,174.22203
0.08192,6328610.03420,151275581.88761,118.44265
0.04816,4076421.26885,143992248.23426,157.60030
0.02981,1623090.48459,164425741.76572,130.95223
0.09959,10659317.11079,154864502.34007,153.10488
0.09646,8280238.26324,115436435.77717,147.24922
