# mass enclosed, CDF
3162.27766,339.00000
4248.20170,339.00000
5707.03133,339.00000
7666.82207,339.00000
10299.60366,339.00000
13836.48068,339.00000
18587.91891,339.00000
24970.99786,339.00000
33546.02186,339.00000
45065.70338,339.00000
60541.23584,339.00000
81331.05582,339.00000
109260.08611,339.00000
146779.92676,339.00000
197184.05565,338.00000
264896.92876,334.00000
355862.35731,330.00000
478065.25330,327.00000
642232.54222,322.00000
862774.76860,313.00000
1159051.04831,302.00000
1557068.40475,276.00000
2091764.65576,250.00000
2810075.24250,217.00000
3775053.20532,186.00000
5071403.95656,151.00000
6812920.69058,115.00000
9152473.10877,81.00000
12295426.26596,52.00000
16517667.43970,32.00000
22189823.41459,20.00000
29809793.96565,10.00000
40046457.31836,4.00000
53798384.03444,2.00000
72272713.20676,0.00000
97091114.68708,0.00000
130432138.67190,0.00000
175222448.04128,0.00000
235393719.75500,0.00000
