# r_half [kpc], M_enc(r_half) [M_sun], M_200 [M_sun], concentration
0.01420,19093.88630,129210651.48710,18.74844
0.15384,3049696.38015,2309844679.71786,12.69074
0.02190,65557.58367,113135248.54049,24.91972
0.03988,143770.47990,140057859.62162,18.52718
0.04949,151845.72598,145145301.13390,14.33770
0.08317,376183.03926,130098914.22534,13.96743
0.06693,680065.71506,699348272.94560,18.28720
0.05913,386602.29067,214782320.72533,19.61590
0.11996,2239290.05895,653235472.24426,19.83084
0.02353,36952.72821,110541256.13148,15.61181
0.01493,18054.37329,108447537.97838,17.63156
0.09362,1266555.94962,2795962617.01342,12.80457
0.07130,567495.92119,504957639.70350,16.11276
0.05669,213819.43077,105337005.16489,16.50194
0.05310,194505.34555,109263054.68320,16.68029
0.04317,122159.41817,112059756.03906,15.77642
0.05444,557077.18096,487363887.59131,22.79072
0.10119,675518.94892,191220325.44322,14.74332
0.05428,241618.68020,133174814.24487,17.90981
0.05278,472933.61471,2234021220.66676,14.82122
0.08511,822611.55958,1034044331.81264,13.77110
0.07332,458725.74557,322423511.58265,14.99692
0.06116,567841.00723,2459918983.08425,13.48132
0.03722,161146.65269,175013880.07125,20.72478
0.02206,39761.47343,167632504.73316,16.18944
0.03000,83586.60253,130320684.28014,18.91946
0.02031,34134.27575,118419309.66602,17.66449
0.02653,65822.90286,180560909.34406,17.51407
0.04256,172572.32007,111757776.25189,20.39500
0.20331,3796836.23763,306044659.18385,18.29745
0.05122,342825.01622,290226643.59492,20.18476
0.08226,550288.07707,178552731.26920,17.09798
0.02376,54708.48269,112168362.19418,19.97501
0.07805,414820.93185,110324102.45460,17.08587
0.02134,68700.45101,328121755.02917,20.80580
0.01625,17908.32374,100029620.62411,15.98613
0.03501,122388.36587,187739679.41289,18.32964
0.03659,135806.09121,100716788.28895,21.61617
0.06365,319678.04969,168960108.12264,16.59917
0.06688,537402.61209,1093599384.32718,13.97908
0.04456,245271.96016,415239279.24256,17.68445
0.30920,10195116.73070,942946570.15904,15.46363
0.06896,478521.65755,175088510.41728,19.63877
0.01174,21620.51310,165664222.65963,24.50782
0.14135,2393941.15898,550720026.33161,17.57050
0.02307,46334.44792,192044884.60045,16.39403
0.09802,853287.70036,157632120.62454,19.26739
0.03329,121871.49690,178435833.66354,19.74896
0.02525,72668.86880,287969968.00352,17.90698
0.04335,139490.29883,215799402.81345,14.62459
0.07764,587408.27091,453458283.71193,15.14388
0.05343,239521.70683,100593556.51638,19.54895
0.09622,1156917.23850,226620890.26667,22.17124
0.01317,23457.48606,140912042.75714,23.14522
0.02888,86962.30359,332345562.65058,16.38231
0.13676,1420707.16286,139175147.85858,18.82568
0.07525,453429.04121,182296383.62282,16.67496
0.04107,186495.82166,656275121.95117,14.67913
0.02059,38878.36659,133710864.46336,18.39650
0.03411,86946.11445,120839957.71971,16.73880
0.03690,182877.66701,207317527.93339,21.89577
0.05992,460987.99905,632299359.36062,16.62541
0.05051,172162.82116,109803399.58080,16.34575
0.07568,370351.69358,129434880.18277,15.70497
0.10450,1528737.04742,551357232.66741,18.99227
0.07599,675513.65647,827332254.59016,14.77531
0.09722,658894.94699,614668875.08341,11.20079
0.08303,352827.65612,173036178.19691,12.37038
0.08462,687234.23699,564330365.89053,14.24993
0.10112,853666.74774,527830361.23923,13.28980
0.07667,701439.59566,620664209.64751,16.09548
0.13785,1136891.51545,208711091.52198,13.87886
0.02794,77137.73517,133824059.56660,19.53471
0.01576,18548.04844,153372517.66886,15.45017
0.07706,732963.23267,448510792.69579,17.89040
0.23242,14108917.16981,23521941674.90808,11.88178
0.09680,1164245.79614,1716187299.05799,13.01020
0.07346,682841.21536,674873332.43850,16.37112
0.04081,174314.28127,1839811659.17579,11.09083
0.08221,546581.29869,225277540.09807,15.99785
0.03296,83715.44318,120520687.00176,17.07548
0.05916,261873.60814,246109853.35448,14.46096
0.06530,409643.35940,322351910.71205,16.16898
0.17674,6635378.22386,8097743876.32504,13.23729
0.04700,252608.22295,215497520.80835,19.73786
0.05979,382053.99934,158313777.01080,20.75032
0.08425,953063.93175,462584468.77828,18.94699
0.02236,35104.10326,224052083.38586,13.67157
0.03543,164832.93942,826347770.41151,15.56292
0.13129,2301226.95267,383976580.03806,20.87870
0.04080,180971.97260,271643948.51424,17.89401
0.08175,795808.80800,264347417.09057,20.13609
0.24006,10757045.11244,3178535896.93989,15.76589
0.04701,210393.17849,655464091.96484,13.31206
0.20568,3203772.68053,136396713.39475,21.01013
0.05553,442796.15614,777608100.60375,17.00921
0.07878,413769.02002,317032470.36093,12.71225
0.04168,194358.97905,160652227.65672,20.75461
0.03306,114599.53779,112644437.95029,21.36689
0.03100,45376.02698,116169285.94520,12.27546
0.06550,424792.75417,473111264.90931,15.00440
0.05362,247423.52800,293130331.19618,15.17488
0.01449,22387.18559,165497108.76650,19.18219
0.04497,147316.48951,183025978.79525,15.05885
0.02000,31591.47902,132269803.08770,16.67621
0.01582,25884.53065,223210130.43139,17.59827
0.05742,246827.06387,234123870.34398,14.62428
0.06725,355338.11500,196325714.47947,15.98505
0.05858,609051.18892,674116021.57557,20.35348
0.05710,442010.34355,952441962.77184,15.60162
0.02298,49659.00189,178751005.94304,17.54653
0.04694,175566.12337,158954456.59674,16.62630
0.03228,71737.59474,153792200.61594,14.89560
0.01165,6109.93238,139022485.88008,11.16960
0.03013,110413.33971,203564390.82437,20.38819
0.25949,5523907.32665,202413570.12104,20.81401
0.06510,747917.06953,2551685866.69487,14.83484
0.09747,1881165.11353,2108844792.17894,17.06198
0.09670,687110.24394,141298689.59312,17.28186
0.07876,786564.82204,2253110067.35956,12.25111
0.07255,850164.17863,1047031289.65074,17.35746
0.01728,25323.75066,313933590.56816,14.30410
0.06894,326823.34950,223745527.43172,14.09474
0.07030,264050.81656,105754181.73699,14.36375
0.03799,103285.18050,104073226.99475,16.94571
0.13761,1375648.54365,207242259.38442,16.09039
0.09318,870121.27056,275250546.94406,17.86793
0.03507,163413.64915,596549132.55968,16.91225
0.29038,13394329.88447,3070540592.89767,14.45568
0.05689,229723.71203,123028331.65527,16.58908
0.03473,165117.25605,113691397.82503,25.57473
0.05231,306895.98694,314644318.90822,17.85854
0.04766,151968.95152,152599727.33275,14.89929
0.01062,9388.12690,104343148.28111,17.99100
0.16580,3216463.38635,918479010.91128,15.24033
