# mass enclosed, CDF
3162.27766,535.00000
4248.20170,535.00000
5707.03133,535.00000
7666.82207,535.00000
10299.60366,531.00000
13836.48068,523.00000
18587.91891,513.00000
24970.99786,497.00000
33546.02186,474.00000
45065.70338,447.00000
60541.23584,421.00000
81331.05582,390.00000
109260.08611,348.00000
146779.92676,312.00000
197184.05565,262.00000
264896.92876,227.00000
355862.35731,183.00000
478065.25330,147.00000
642232.54222,114.00000
862774.76860,85.00000
1159051.04831,65.00000
1557068.40475,47.00000
2091764.65576,32.00000
2810075.24250,25.00000
3775053.20532,15.00000
5071403.95656,11.00000
6812920.69058,6.00000
9152473.10877,6.00000
12295426.26596,3.00000
16517667.43970,3.00000
22189823.41459,2.00000
29809793.96565,1.00000
40046457.31836,1.00000
53798384.03444,0.00000
72272713.20676,0.00000
97091114.68708,0.00000
130432138.67190,0.00000
175222448.04128,0.00000
235393719.75500,0.00000
